Index,SOFile,GitFile,Line
0,InitialSO.csv0.txt,InitialGit.csv0.txt,3
1,InitialSO.csv1.txt,InitialGit.csv1.txt,3
29,InitialSO.csv29.txt,InitialGit.csv29.txt,14
43,InitialSO.csv43.txt,InitialGit.csv43.txt,10
53,InitialSO.csv53.txt,InitialGit.csv53.txt,5
859,InitialSO.csv859.txt,InitialGit.csv859.txt,6
860,InitialSO.csv860.txt,InitialGit.csv860.txt,25
861,InitialSO.csv861.txt,InitialGit.csv861.txt,18
862,InitialSO.csv862.txt,InitialGit.csv862.txt,7
863,InitialSO.csv863.txt,InitialGit.csv863.txt,18
871,InitialSO.csv871.txt,InitialGit.csv871.txt,5
873,InitialSO.csv873.txt,InitialGit.csv873.txt,4
874,InitialSO.csv874.txt,InitialGit.csv874.txt,4
875,InitialSO.csv875.txt,InitialGit.csv875.txt,4
876,InitialSO.csv876.txt,InitialGit.csv876.txt,4
877,InitialSO.csv877.txt,InitialGit.csv877.txt,4
878,InitialSO.csv878.txt,InitialGit.csv878.txt,4
879,InitialSO.csv879.txt,InitialGit.csv879.txt,4
880,InitialSO.csv880.txt,InitialGit.csv880.txt,4
882,InitialSO.csv882.txt,InitialGit.csv882.txt,3
886,InitialSO.csv886.txt,InitialGit.csv886.txt,6
3746,InitialSO.csv3746.txt,InitialGit.csv3746.txt,12
3747,InitialSO.csv3747.txt,InitialGit.csv3747.txt,5
3748,InitialSO.csv3748.txt,InitialGit.csv3748.txt,3
3750,InitialSO.csv3750.txt,InitialGit.csv3750.txt,4
3754,InitialSO.csv3754.txt,InitialGit.csv3754.txt,4
3764,InitialSO.csv3764.txt,InitialGit.csv3764.txt,3
3771,InitialSO.csv3771.txt,InitialGit.csv3771.txt,8
3772,InitialSO.csv3772.txt,InitialGit.csv3772.txt,5
3779,InitialSO.csv3779.txt,InitialGit.csv3779.txt,14
3780,InitialSO.csv3780.txt,InitialGit.csv3780.txt,13
3785,InitialSO.csv3785.txt,InitialGit.csv3785.txt,3
3786,InitialSO.csv3786.txt,InitialGit.csv3786.txt,3
3788,InitialSO.csv3788.txt,InitialGit.csv3788.txt,3
3789,InitialSO.csv3789.txt,InitialGit.csv3789.txt,6
3790,InitialSO.csv3790.txt,InitialGit.csv3790.txt,6
3793,InitialSO.csv3793.txt,InitialGit.csv3793.txt,5
3794,InitialSO.csv3794.txt,InitialGit.csv3794.txt,8
3795,InitialSO.csv3795.txt,InitialGit.csv3795.txt,7
3796,InitialSO.csv3796.txt,InitialGit.csv3796.txt,3
3798,InitialSO.csv3798.txt,InitialGit.csv3798.txt,17
3802,InitialSO.csv3802.txt,InitialGit.csv3802.txt,28
3804,InitialSO.csv3804.txt,InitialGit.csv3804.txt,3
3805,InitialSO.csv3805.txt,InitialGit.csv3805.txt,3
3812,InitialSO.csv3812.txt,InitialGit.csv3812.txt,4
3825,InitialSO.csv3825.txt,InitialGit.csv3825.txt,4
3827,InitialSO.csv3827.txt,InitialGit.csv3827.txt,5
3828,InitialSO.csv3828.txt,InitialGit.csv3828.txt,4
3832,InitialSO.csv3832.txt,InitialGit.csv3832.txt,3
3836,InitialSO.csv3836.txt,InitialGit.csv3836.txt,5
3838,InitialSO.csv3838.txt,InitialGit.csv3838.txt,11
3843,InitialSO.csv3843.txt,InitialGit.csv3843.txt,8
3844,InitialSO.csv3844.txt,InitialGit.csv3844.txt,6
3850,InitialSO.csv3850.txt,InitialGit.csv3850.txt,3
3853,InitialSO.csv3853.txt,InitialGit.csv3853.txt,15
3858,InitialSO.csv3858.txt,InitialGit.csv3858.txt,10
3859,InitialSO.csv3859.txt,InitialGit.csv3859.txt,7
3860,InitialSO.csv3860.txt,InitialGit.csv3860.txt,3
3861,InitialSO.csv3861.txt,InitialGit.csv3861.txt,3
3862,InitialSO.csv3862.txt,InitialGit.csv3862.txt,3
3863,InitialSO.csv3863.txt,InitialGit.csv3863.txt,3
3865,InitialSO.csv3865.txt,InitialGit.csv3865.txt,14
3868,InitialSO.csv3868.txt,InitialGit.csv3868.txt,15
3871,InitialSO.csv3871.txt,InitialGit.csv3871.txt,4
3872,InitialSO.csv3872.txt,InitialGit.csv3872.txt,12
3873,InitialSO.csv3873.txt,InitialGit.csv3873.txt,12
3874,InitialSO.csv3874.txt,InitialGit.csv3874.txt,6
3876,InitialSO.csv3876.txt,InitialGit.csv3876.txt,27
3878,InitialSO.csv3878.txt,InitialGit.csv3878.txt,3
3884,InitialSO.csv3884.txt,InitialGit.csv3884.txt,6
3887,InitialSO.csv3887.txt,InitialGit.csv3887.txt,6
3888,InitialSO.csv3888.txt,InitialGit.csv3888.txt,5
3889,InitialSO.csv3889.txt,InitialGit.csv3889.txt,5
3893,InitialSO.csv3893.txt,InitialGit.csv3893.txt,12
3896,InitialSO.csv3896.txt,InitialGit.csv3896.txt,3
3901,InitialSO.csv3901.txt,InitialGit.csv3901.txt,6
3902,InitialSO.csv3902.txt,InitialGit.csv3902.txt,22
3904,InitialSO.csv3904.txt,InitialGit.csv3904.txt,15
3909,InitialSO.csv3909.txt,InitialGit.csv3909.txt,10
3910,InitialSO.csv3910.txt,InitialGit.csv3910.txt,7
3911,InitialSO.csv3911.txt,InitialGit.csv3911.txt,35
3912,InitialSO.csv3912.txt,InitialGit.csv3912.txt,8
3913,InitialSO.csv3913.txt,InitialGit.csv3913.txt,18
3923,InitialSO.csv3923.txt,InitialGit.csv3923.txt,6
3924,InitialSO.csv3924.txt,InitialGit.csv3924.txt,3
3925,InitialSO.csv3925.txt,InitialGit.csv3925.txt,3
3939,InitialSO.csv3939.txt,InitialGit.csv3939.txt,4
