Index,SOCode,GitFile,Line
0,FinalSO.csv0.txt,FinalGit.csv0.txt,3
1,FinalSO.csv1.txt,FinalGit.csv1.txt,3
29,FinalSO.csv29.txt,FinalGit.csv29.txt,14
43,FinalSO.csv43.txt,FinalGit.csv43.txt,10
53,FinalSO.csv53.txt,FinalGit.csv53.txt,4
859,FinalSO.csv859.txt,FinalGit.csv859.txt,3
860,FinalSO.csv860.txt,FinalGit.csv860.txt,25
861,FinalSO.csv861.txt,FinalGit.csv861.txt,18
862,FinalSO.csv862.txt,FinalGit.csv862.txt,18
863,FinalSO.csv863.txt,FinalGit.csv863.txt,18
871,FinalSO.csv871.txt,FinalGit.csv871.txt,5
873,FinalSO.csv873.txt,FinalGit.csv873.txt,4
874,FinalSO.csv874.txt,FinalGit.csv874.txt,4
877,FinalSO.csv877.txt,FinalGit.csv877.txt,4
879,FinalSO.csv879.txt,FinalGit.csv879.txt,4
880,FinalSO.csv880.txt,FinalGit.csv880.txt,4
886,FinalSO.csv886.txt,FinalGit.csv886.txt,3
3747,FinalSO.csv3747.txt,FinalGit.csv3747.txt,5
3748,FinalSO.csv3748.txt,FinalGit.csv3748.txt,3
3750,FinalSO.csv3750.txt,FinalGit.csv3750.txt,4
3754,FinalSO.csv3754.txt,FinalGit.csv3754.txt,4
3764,FinalSO.csv3764.txt,FinalGit.csv3764.txt,3
3771,FinalSO.csv3771.txt,FinalGit.csv3771.txt,8
3772,FinalSO.csv3772.txt,FinalGit.csv3772.txt,5
3779,FinalSO.csv3779.txt,FinalGit.csv3779.txt,14
3780,FinalSO.csv3780.txt,FinalGit.csv3780.txt,13
3789,FinalSO.csv3789.txt,FinalGit.csv3789.txt,6
3790,FinalSO.csv3790.txt,FinalGit.csv3790.txt,6
3794,FinalSO.csv3794.txt,FinalGit.csv3794.txt,8
3795,FinalSO.csv3795.txt,FinalGit.csv3795.txt,7
3796,FinalSO.csv3796.txt,FinalGit.csv3796.txt,3
3798,FinalSO.csv3798.txt,FinalGit.csv3798.txt,17
3802,FinalSO.csv3802.txt,FinalGit.csv3802.txt,28
3812,FinalSO.csv3812.txt,FinalGit.csv3812.txt,4
3825,FinalSO.csv3825.txt,FinalGit.csv3825.txt,4
3827,FinalSO.csv3827.txt,FinalGit.csv3827.txt,5
3828,FinalSO.csv3828.txt,FinalGit.csv3828.txt,4
3832,FinalSO.csv3832.txt,FinalGit.csv3832.txt,3
3836,FinalSO.csv3836.txt,FinalGit.csv3836.txt,5
3838,FinalSO.csv3838.txt,FinalGit.csv3838.txt,11
3843,FinalSO.csv3843.txt,FinalGit.csv3843.txt,8
3844,FinalSO.csv3844.txt,FinalGit.csv3844.txt,4
3850,FinalSO.csv3850.txt,FinalGit.csv3850.txt,3
3853,FinalSO.csv3853.txt,FinalGit.csv3853.txt,11
3858,FinalSO.csv3858.txt,FinalGit.csv3858.txt,10
3859,FinalSO.csv3859.txt,FinalGit.csv3859.txt,7
3860,FinalSO.csv3860.txt,FinalGit.csv3860.txt,3
3861,FinalSO.csv3861.txt,FinalGit.csv3861.txt,3
3863,FinalSO.csv3863.txt,FinalGit.csv3863.txt,3
3868,FinalSO.csv3868.txt,FinalGit.csv3868.txt,15
3871,FinalSO.csv3871.txt,FinalGit.csv3871.txt,4
3872,FinalSO.csv3872.txt,FinalGit.csv3872.txt,12
3873,FinalSO.csv3873.txt,FinalGit.csv3873.txt,12
